Number,Total,HDBDwellings_Total,HDBDwellings_1_and2_RoomFlats1,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomandExecutiveFlats,CondominiumsandOtherApartments,LandedProperties,Others
Nicoll,290,-,-,-,-,-,270,-,10
Phillip,10,-,-,-,-,-,-,-,-
Raffles Place,40,-,-,-,-,-,-,-,-
Tanjong Pagar,670,-,-,-,-,-,610,-,60
Geylang - Total,110110,82130,8470,27320,31210,15130,19640,6370,1970
Aljunied,39990,26050,1990,8760,8920,6380,12240,450,1260
Geylang East,29920,18700,1950,6250,6710,3790,6690,4160,370
Kallang Way,30,-,-,-,-,-,-,-,-
Kampong Ubi,11800,11670,-,960,8740,1980,-,-,130
Macpherson,28360,25710,4530,11360,6830,2990,710,1770,170
Hougang - Total,227560,171090,6000,26430,85640,53020,29940,22250,4280
Defu Industrial Park,20,-,-,-,-,-,-,-,-
Hougang Central,4720,3530,-,90,1400,2040,270,880,40
Hougang East,24920,22930,-,1590,13400,7940,1980,-,20
Hougang West,45460,44210,-,7810,24750,11650,760,-,500
Kangkar,32290,21540,1230,5900,9850,4560,10290,360,100
Kovan,24810,3880,-,690,2190,990,8870,11770,290
Lorong Ah Soo,32320,24080,-,7700,9600,6780,4300,3730,220
Lorong Halus,-,-,-,-,-,-,-,-,-
Tai Seng,13830,8610,1340,550,4470,2260,700,4140,380
Trafalgar,49200,42320,3430,2090,19990,16810,2780,1370,2730
Jurong East - Total,78600,70940,2200,17510,25440,25790,6910,-,750
International Business Park,10,-,-,-,-,-,-,-,-
Jurong Gateway,450,-,-,-,-,-,440,-,10
Jurong Port,-,-,-,-,-,-,-,-,-
Jurong River,10,-,-,-,-,-,-,-,-
Lakeside (Business),-,-,-,-,-,-,-,-,-
Lakeside (Leisure),1070,-,-,-,-,-,790,-,280
Penjuru Crescent,10,-,-,-,-,-,-,-,-
Teban Gardens,18530,18510,190,4810,8800,4710,-,-,30
Toh Guan,14590,14580,-,570,5300,8720,-,-,10
Yuhua East,24770,21910,300,8240,6440,6930,2600,-,260
Yuhua West,19160,15940,1710,3890,4910,5430,3070,-,140
Jurong West - Total,262730,240300,8220,32530,99630,99920,17390,4270,780
Boon Lay Place,29340,28150,3640,12750,5620,6140,1130,-,60
Chin Bee,-,-,-,-,-,-,-,-,-
Hong Kah,53890,49010,810,11860,23550,12790,4770,-,100
Jurong West Central,63760,62580,50,630,23690,38200,1190,-,-
Kian Teck,40,-,-,-,-,-,-,-,-
Safti,-,-,-,-,-,-,-,-,-
Taman Jurong,39920,32890,2190,5050,13500,12150,6310,690,30
Wenya,8280,8090,-,-,3070,5020,-,-,190
Yunnan,67500,59580,1520,2240,30200,25620,4000,3580,350
